smws_code,smoky,peaty,sherry,fruity,spicy,sweet,rich
4.145,0.4,0.0,0.0,0.4,0.8,1.0,0.0
4.146,0.8,0.2,0.0,0.0,0.0,0.4,0.4
4.148,0.4,0.0,0.0,0.0,0.2,0.6,0.0
4.151,0.4,0.2,0.2,0.6,0.2,0.8,0.2
4.153,0.6,0.2,0.0,0.6,0.0,0.0,0.0
4.156,0.8,0.0,0.0,0.6,0.0,0.4,0.6
4.160,0.2,0.0,0.0,0.4,0.6,0.8,0.4
4.162,0.6,0.4,0.0,0.0,0.0,0.4,0.2
4.163,1.0,0.0,0.0,0.4,0.8,0.4,0.8
4.164,0.0,0.0,0.0,0.4,0.2,0.4,0.4
4.169,0.4,0.0,0.0,0.0,0.2,0.6,0.2
4.171,0.6,0.4,0.0,0.2,0.2,0.4,0.0
4.172,0.2,0.0,0.0,0.4,0.2,0.2,0.0
4.175,0.2,0.0,0.0,0.4,0.0,0.6,0.0
4.178,0.2,0.0,0.2,0.6,0.2,0.6,0.4
4.183,0.8,0.2,0.0,0.4,0.0,0.6,0.2
4.188,0.6,0.0,0.0,0.6,0.4,0.2,0.0
4.190,0.2,0.0,0.0,0.4,0.0,0.0,0.2
4.191,0.4,0.2,0.0,0.2,0.6,0.6,0.2
4.197,0.0,0.0,0.0,0.4,0.6,0.2,0.8
4.203,0.0,0.0,0.0,0.0,0.8,0.8,1.0
4.207,0.2,0.4,0.0,0.0,0.2,1.0,0.4
4.211,0.6,0.2,0.0,0.0,0.0,0.2,0.0
4.216,0.2,0.0,0.0,0.4,0.2,0.2,0.6
4.217,0.4,0.0,0.0,0.4,0.2,1.0,0.0
4.218,0.2,0.0,0.0,0.2,0.2,0.8,0.2
4.96,0.4,0.0,0.0,0.4,0.0,1.0,0.0
005.12,0.0,0.0,0.0,0.6,0.0,0.0,0.0
005.16,0.0,0.0,0.0,0.0,0.0,0.2,0.0
5.28,0.0,0.0,0.0,0.8,0.8,1.0,0.0
5.33,0.0,0.0,0.0,0.6,0.2,0.4,0.0
5.35,0.0,0.0,0.0,0.8,0.4,0.4,0.4
5.36,0.4,0.0,0.0,0.0,0.4,0.4,0.0
5.38,0.0,0.0,0.0,1.0,0.0,0.4,0.0
5.40,0.0,0.0,0.0,0.0,0.2,1.0,0.6
5.47,0.0,0.0,0.0,0.6,0.4,0.6,0.0
5.48,0.0,0.0,0.2,0.4,0.6,0.8,1.0
5.49,0.0,0.0,0.0,0.2,0.6,1.0,0.4
005.7,0.0,0.0,0.0,0.6,0.0,0.4,0.0
6.23,0.0,0.0,0.0,0.4,0.0,0.0,0.2
7.100,0.0,0.0,0.0,0.4,0.2,0.2,0.4
7.101,0.0,0.0,0.2,0.2,0.4,0.4,0.2
7.103,0.2,0.0,0.0,0.4,0.6,1.0,0.2
007.105,0.2,0.0,0.0,1.0,0.2,1.0,0.2
7.109,0.0,0.0,0.0,1.0,0.2,1.0,0.6
7.111,0.0,0.0,0.2,0.2,0.2,1.0,1.0
007.116,0.2,0.0,0.0,0.0,0.2,0.2,0.8
007.133,0.0,0.0,0.0,0.2,0.0,0.6,0.0
7.29,0.0,0.0,0.2,0.0,0.0,0.2,0.2
7.39,0.0,0.0,0.4,1.0,0.2,0.4,0.4
007.40,0.0,0.0,0.0,0.2,0.4,0.6,0.4
7.47,0.2,0.0,0.0,0.0,0.2,0.6,1.0
7.53,0.0,0.2,0.2,0.2,0.0,0.6,0.2
